model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,5,,60,1.1,,"[0.156, 0.0004]","[0.1024, 0.0004]","[0.0963, 0.0003]","[0.0916, 0.0003]","[0.1122, 0.0005]","[0.0748, 0.0002]","[0.0849, 0.0003]","[0.0782, 0.0004]","[0.1061, 0.0005]","[0.1303, 0.0005]","[0.0454, 0.0003]","[0.2352, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0001,5,,60,0.9,,"[0.1489, 0.0004]","[0.1029, 0.0004]","[0.0963, 0.0003]","[0.0913, 0.0003]","[0.1124, 0.0005]","[0.0739, 0.0002]","[0.0837, 0.0003]","[0.0728, 0.0004]","[0.0984, 0.0004]","[0.1208, 0.0005]","[0.042, 0.0003]","[0.2184, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,80,0.9,,"[0.1526, 0.0004]","[0.1044, 0.0004]","[0.0978, 0.0003]","[0.0927, 0.0003]","[0.1138, 0.0005]","[0.0748, 0.0002]","[0.0861, 0.0003]","[0.0768, 0.0004]","[0.1032, 0.0005]","[0.1258, 0.0005]","[0.0446, 0.0003]","[0.2233, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,80,1.0,,"[0.1505, 0.0004]","[0.1046, 0.0004]","[0.0978, 0.0003]","[0.0924, 0.0003]","[0.1149, 0.0005]","[0.074, 0.0002]","[0.0855, 0.0003]","[0.0752, 0.0004]","[0.1011, 0.0004]","[0.1233, 0.0005]","[0.0439, 0.0003]","[0.2177, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,80,1.1,,"[0.1565, 0.0004]","[0.1038, 0.0004]","[0.0974, 0.0003]","[0.0925, 0.0003]","[0.1139, 0.0005]","[0.075, 0.0002]","[0.0859, 0.0003]","[0.079, 0.0004]","[0.1068, 0.0005]","[0.131, 0.0005]","[0.0461, 0.0003]","[0.2331, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0001,3,,80,0.9,,"[0.1524, 0.0004]","[0.1048, 0.0004]","[0.0981, 0.0003]","[0.0929, 0.0003]","[0.1149, 0.0005]","[0.075, 0.0002]","[0.0862, 0.0003]","[0.0758, 0.0004]","[0.1019, 0.0004]","[0.1246, 0.0005]","[0.044, 0.0003]","[0.2225, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,40,0.9,,"[0.1508, 0.0004]","[0.0997, 0.0004]","[0.094, 0.0003]","[0.0895, 0.0003]","[0.1081, 0.0005]","[0.0734, 0.0002]","[0.0824, 0.0003]","[0.0745, 0.0004]","[0.1015, 0.0005]","[0.1249, 0.0005]","[0.0426, 0.0003]","[0.227, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,40,1.0,,"[0.1523, 0.0004]","[0.0994, 0.0004]","[0.0937, 0.0003]","[0.0893, 0.0003]","[0.1077, 0.0005]","[0.0732, 0.0002]","[0.0819, 0.0003]","[0.0757, 0.0004]","[0.1034, 0.0005]","[0.1275, 0.0005]","[0.0431, 0.0003]","[0.2317, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,3,,60,0.9,,"[0.1512, 0.0004]","[0.1044, 0.0004]","[0.0974, 0.0003]","[0.0922, 0.0003]","[0.1146, 0.0005]","[0.0741, 0.0002]","[0.0848, 0.0003]","[0.0755, 0.0004]","[0.1015, 0.0004]","[0.1239, 0.0005]","[0.0438, 0.0003]","[0.221, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,3,,60,1.0,,"[0.1564, 0.0004]","[0.1039, 0.0004]","[0.0978, 0.0003]","[0.093, 0.0003]","[0.1132, 0.0005]","[0.0758, 0.0002]","[0.0862, 0.0003]","[0.0782, 0.0004]","[0.1063, 0.0005]","[0.1305, 0.0005]","[0.0451, 0.0003]","[0.2339, 0.0006]"
